,Home,Away,W_PCT,REB,TOV,PLUS_MINUS,OFF_RATING,DEF_RATING,TS_PCT,Result,Date
0,Golden State Warriors,New Orleans Pelicans,1.8257418583505536,2.2600248280344744,0.2575736017757261,2.4745258694934886,2.457017068806437,-2.457017068806437,1.0612130309113332,1,10/27/2015
1,Chicago Bulls,Cleveland Cavaliers,1.8257418583505536,-0.30818520382288284,0.6761307046612839,0.31724690634531905,0.3510024384009185,-0.3510024384009185,1.3707334982604698,1,10/27/2015
2,Detroit Pistons,Atlanta Hawks,1.8257418583505536,1.8902025834470144,-0.09659010066589786,1.943137301365079,1.7048689865187496,-1.7048689865187496,-1.6360367559883056,1,10/27/2015
3,Los Angeles Lakers,Minnesota Timberwolves,-2.0011504171213033,1.6042206501558147,1.6192442879824491,-0.13717239704475356,-0.2261600458498729,0.2347951827221053,-0.6629231170092943,0,10/28/2015
4,Dallas Mavericks,Phoenix Suns,2.0011504171213033,-0.9772838443477944,-2.689592207157289,2.1193135343414427,1.4906003021923426,-1.5475137043047829,1.702099895023866,1,10/28/2015
5,Brooklyn Nets,Chicago Bulls,-2.0011504171213033,0.33190772072189195,-0.988013463853698,-1.6117756652758544,-0.6682001354655329,1.6435662790547354,-1.8096009410253744,0,10/28/2015
6,Philadelphia 76ers,Boston Celtics,-2.0011504171213033,0.8297693018047314,1.811358017065113,-2.277061790942909,-1.8092803667989807,1.8783614617768396,-1.218345188017083,0,10/28/2015
7,Orlando Magic,Washington Wizards,-2.0011504171213033,1.309191565069688,-0.54889636880761,-0.13717239704475356,-0.10280002084085103,0.1067250830555022,-0.8958420500125628,0,10/28/2015
8,Houston Rockets,Denver Nuggets,-2.0011504171213033,-0.9404052087120292,-1.0977927376152197,-2.7708824203040217,-2.0765604209851936,2.1558466777211445,-3.0816966520432123,0,10/28/2015
9,Detroit Pistons,Utah Jazz,2.0011504171213033,2.1389608668744198,0.2470033659634246,0.9876412587222256,0.8326801688108958,-0.3948828073053586,-0.215002092003015,1,10/28/2015
10,Charlotte Hornets,Miami Heat,-2.0011504171213033,0.46098294544707297,-1.1252375560556005,-1.4471687888221505,-0.9766001979880866,1.0138882890272711,-2.6158587860366813,0,10/28/2015
11,New Orleans Pelicans,Portland Trail Blazers,-2.0011504171213033,-2.747458354864555,0.8233445532114149,-2.3730824688742365,-1.7784403605467274,1.6328937707491842,-1.9171019870268824,0,10/28/2015
12,New York Knicks,Milwaukee Bucks,2.0011504171213033,0.46098294544707297,-1.9211372908266344,3.4841788849367408,2.7242005522825568,-2.82821470097081,1.361679916019093,1,10/28/2015
13,Sacramento Kings,LA Clippers,-2.0011504171213033,1.087919751255092,0.7135652794498932,-0.9327722999043244,-0.9046401833994904,0.9391807308884196,-1.487097803020852,0,10/28/2015
14,Indiana Pacers,Toronto Raptors,-2.0011504171213033,-1.7701745105167608,-2.1132510199092978,-0.9190550601998492,-0.6887601396337035,0.7150580564718654,-0.86000836801206,0,10/28/2015
15,Cleveland Cavaliers,Memphis Grizzlies,1.0005752085606514,2.1942788203280674,-0.3293378212845657,3.1000961732114307,2.487760504348598,-2.081139119582294,1.917101987026883,1,10/28/2015
16,Oklahoma City Thunder,San Antonio Spurs,2.0011504171213033,1.6226599679736984,1.6192442879824498,0.8093171425640461,0.6065201229610213,-0.6296779900274625,0.8600083680120582,1,10/28/2015
17,New York Knicks,Atlanta Hawks,0.0,1.638102532356801,0.1162721920525194,0.6063238261118628,1.0451512218040833,0.1066858902802276,-0.6751254982550978,0,10/29/2015
18,LA Clippers,Dallas Mavericks,1.0777517022218936,-0.6329032511378563,0.31974852814442856,0.91352789800854,1.1496663439844932,-0.4054063830648646,1.1715413057956148,1,10/29/2015
19,Memphis Grizzlies,Indiana Pacers,1.077751702221894,0.6142884496338001,-0.31974852814442845,-0.2344452127632535,-0.5356400011745921,-0.07468012319615958,-0.6552688659534793,1,10/29/2015
20,Philadelphia 76ers,Utah Jazz,-1.3337844283936624,-1.071624897017705,4.312736757064308,-3.293081509932044,-2.528518933634285,2.531235529026324,-0.7898272342406933,0,10/30/2015
21,San Antonio Spurs,Brooklyn Nets,1.3337844283936624,1.4708577017890063,0.5005855164449642,2.9527350968943753,2.345734432407707,-1.9172229502031064,2.4279874237769445,1,10/30/2015
22,Phoenix Suns,Portland Trail Blazers,0.0,1.323771931610105,0.4235723600688167,0.09198551703720792,-0.21324858476433808,-0.18796303433363787,-1.053102978987591,1,10/30/2015
23,Toronto Raptors,Boston Celtics,1.3337844283936624,2.2693233113316094,1.5402631275229681,0.4323319300748772,0.060928167075523586,-0.3508643307561237,0.7313215131858238,1,10/30/2015
